,Temperature,Clouds,Visibility,Humidity,Pressure,WindSpeed,hour_sin,hour_cos,sin_day_of_month,cos_day_of_month,daylight_duration,Weather_encoded,WeatherDescription_encoded
2024-04-01 00:00:00,14.079999999999984,97.0,10000.0,84.0,1008.0,2.37,0.0,1.0,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 00:15:00,14.079999999999984,97.0,10000.0,84.0,1008.0,2.37,0.0,1.0,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 00:30:00,14.079999999999984,97.0,10000.0,84.0,1008.0,2.37,0.0,1.0,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 00:45:00,14.079999999999984,97.0,10000.0,84.0,1008.0,2.37,0.0,1.0,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 01:00:00,14.079999999999984,97.0,10000.0,84.0,1008.0,2.37,0.0,1.0,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 01:15:00,14.079999999999984,97.0,10000.0,84.0,1008.0,2.37,0.0,1.0,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 01:30:00,14.079999999999984,97.0,10000.0,84.0,1008.0,2.37,0.0,1.0,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 01:45:00,14.079999999999984,97.0,10000.0,84.0,1008.0,2.37,0.0,1.0,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 02:00:00,14.079999999999984,97.0,10000.0,84.0,1008.0,2.37,0.0,1.0,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 02:15:00,14.079999999999984,97.0,10000.0,84.0,1008.0,2.37,0.0,1.0,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 02:30:00,14.079999999999984,97.0,10000.0,84.0,1008.0,2.37,0.0,1.0,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 02:45:00,14.079999999999984,97.0,10000.0,84.0,1008.0,2.37,0.0,1.0,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 03:00:00,13.319999999999991,97.0,10000.0,86.0,1006.0,2.56,0.7071067811865476,0.7071067811865476,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 03:15:00,13.319999999999991,97.0,10000.0,86.0,1006.0,2.56,0.7071067811865476,0.7071067811865476,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 03:30:00,13.319999999999991,97.0,10000.0,86.0,1006.0,2.56,0.7071067811865476,0.7071067811865476,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 03:45:00,13.319999999999991,97.0,10000.0,86.0,1006.0,2.56,0.7071067811865476,0.7071067811865476,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 04:00:00,13.319999999999991,97.0,10000.0,86.0,1006.0,2.56,0.7071067811865476,0.7071067811865476,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 04:15:00,13.319999999999991,97.0,10000.0,86.0,1006.0,2.56,0.7071067811865476,0.7071067811865476,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 04:30:00,13.319999999999991,97.0,10000.0,86.0,1006.0,2.56,0.7071067811865476,0.7071067811865476,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 04:45:00,13.319999999999991,97.0,10000.0,86.0,1006.0,2.56,0.7071067811865476,0.7071067811865476,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 05:00:00,13.319999999999991,97.0,10000.0,86.0,1006.0,2.56,0.7071067811865476,0.7071067811865476,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 05:15:00,13.319999999999991,97.0,10000.0,86.0,1006.0,2.56,0.7071067811865476,0.7071067811865476,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 05:30:00,13.319999999999991,97.0,10000.0,86.0,1006.0,2.56,0.7071067811865476,0.7071067811865476,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
2024-04-01 05:45:00,13.319999999999991,97.0,10000.0,86.0,1006.0,2.56,0.7071067811865476,0.7071067811865476,0.20791169081775931,0.9781476007338057,12.752222222222223,1.0,7.0
