Time,Temperature,Clouds,Visibility,Humidity,Pressure,WindSpeed,hour_sin,hour_cos,sin_day_of_month,cos_day_of_month,daylight_duration,Weather_encoded,WeatherDescription_encoded,SolarPower
2024-01-04 00:00:00,9.660000000000023,65,10000,82,1004,4.13,0.0,1.0,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,0
2024-01-04 00:15:00,10.370000000000005,65,10000,82,1004,4.13,0.0,1.0,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,0
2024-01-04 00:30:00,11.350000000000025,68,10000,81,1004,3.68,0.0,1.0,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,0
2024-01-04 00:45:00,10.990000000000007,68,10000,81,1004,3.68,0.0,1.0,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,0
2024-01-04 01:00:00,10.990000000000007,68,10000,81,1004,3.68,0.25881904510252074,0.9659258262890683,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,0
2024-01-04 01:15:00,10.990000000000007,68,10000,81,1004,3.68,0.25881904510252074,0.9659258262890683,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,0
2024-01-04 01:30:00,10.490000000000007,72,10000,78,1004,3.78,0.25881904510252074,0.9659258262890683,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,0
2024-01-04 01:45:00,10.220000000000027,72,10000,78,1004,3.78,0.25881904510252074,0.9659258262890683,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,0
2024-01-04 02:00:00,9.850000000000025,72,10000,78,1004,3.78,0.49999999999999994,0.8660254037844387,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,0
2024-01-04 02:15:00,10.220000000000027,72,10000,78,1004,3.78,0.49999999999999994,0.8660254037844387,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,0
2024-01-04 02:30:00,9.889999999999986,81,10000,80,1004,2.57,0.49999999999999994,0.8660254037844387,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,0
2024-01-04 02:45:00,10.069999999999991,81,10000,80,1004,2.57,0.49999999999999994,0.8660254037844387,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,0
2024-01-04 03:00:00,9.730000000000018,81,10000,80,1004,2.57,0.7071067811865476,0.7071067811865476,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,0
2024-01-04 03:15:00,9.45999999999998,81,10000,80,1004,2.57,0.7071067811865476,0.7071067811865476,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,0
2024-01-04 03:30:00,11.129999999999995,86,10000,85,1004,1.69,0.7071067811865476,0.7071067811865476,0.7431448254773941,0.6691306063588582,8.778055555555556,1,7,0
2024-01-04 03:45:00,8.980000000000018,86,10000,85,1004,1.69,0.7071067811865476,0.7071067811865476,0.7431448254773941,0.6691306063588582,8.778055555555556,1,7,0
2024-01-04 04:00:00,9.339999999999977,86,10000,85,1004,1.69,0.8660254037844386,0.5000000000000001,0.7431448254773941,0.6691306063588582,8.778055555555556,1,7,0
2024-01-04 04:15:00,9.339999999999977,86,10000,85,1004,1.69,0.8660254037844386,0.5000000000000001,0.7431448254773941,0.6691306063588582,8.778055555555556,1,7,0
2024-01-04 04:30:00,9.04000000000002,82,10000,90,1004,1.63,0.8660254037844386,0.5000000000000001,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,0
2024-01-04 04:45:00,9.399999999999975,82,10000,90,1004,1.63,0.8660254037844386,0.5000000000000001,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,0
2024-01-04 05:00:00,9.350000000000025,82,10000,90,1004,1.63,0.9659258262890683,0.25881904510252074,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,0
2024-01-04 05:15:00,9.050000000000011,82,10000,90,1004,1.63,0.9659258262890683,0.25881904510252074,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,0
2024-01-04 05:30:00,9.129999999999995,72,10000,91,1005,2.07,0.9659258262890683,0.25881904510252074,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,0
2024-01-04 05:45:00,9.5,77,10000,90,1005,2.85,0.9659258262890683,0.25881904510252074,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,0
2024-01-04 06:00:00,9.449999999999989,77,10000,90,1005,2.85,1.0,6.123233995736766e-17,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,0
2024-01-04 06:15:00,9.740000000000007,77,10000,90,1005,2.85,1.0,6.123233995736766e-17,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,0
2024-01-04 06:30:00,9.449999999999989,99,10000,88,1006,2.68,1.0,6.123233995736766e-17,0.7431448254773941,0.6691306063588582,8.778055555555556,1,7,0
2024-01-04 06:45:00,9.399999999999975,99,10000,88,1006,2.68,1.0,6.123233995736766e-17,0.7431448254773941,0.6691306063588582,8.778055555555556,1,7,0
2024-01-04 07:00:00,9.399999999999975,99,10000,88,1006,2.68,0.9659258262890683,-0.25881904510252063,0.7431448254773941,0.6691306063588582,8.778055555555556,1,7,350
2024-01-04 08:15:00,9.25,58,10000,86,1006,1.87,0.8660254037844387,-0.4999999999999998,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,4050
2024-01-04 08:30:00,9.470000000000027,53,10000,79,1006,1.78,0.8660254037844387,-0.4999999999999998,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,4850
2024-01-04 08:45:00,10.509999999999993,53,10000,79,1006,1.78,0.8660254037844387,-0.4999999999999998,0.7431448254773941,0.6691306063588582,8.778055555555556,1,0,5670
